"X","photo_path","photo_file","site","camera","species","n","datetime"
27,"bulong/BLS1002/Muntjac/2","2014 06 22 06 49 08.JPG","bulong","bls1002","muntjac",2,"2014-06-22"
28,"bulong/BLS1002/Muntjac/1","2014 07 06 08 48 03.JPG","bulong","bls1002","muntjac",1,"2014-07-06"
29,"bulong/BLS1002/Muntjac/1","2014 07 13 19 14 39.JPG","bulong","bls1002","muntjac",1,"2014-07-13"
30,"bulong/BLS1002/Muntjac/1","2014 07 23 17 05 00.JPG","bulong","bls1002","muntjac",1,"2014-07-23"
39,"bulong/BLS1004/Muntjac/1","2014 07 02 09 53 16.JPG","bulong","bls1004","muntjac",1,"2014-07-02"
40,"bulong/BLS1004/Muntjac/1","2014 08 01 20 12 41.jpg","bulong","bls1004","muntjac",1,"2014-08-01"
41,"bulong/BLS1004/Muntjac/1","2014 09 20 13 06 21.jpg","bulong","bls1004","muntjac",1,"2014-09-20"
49,"bulong/BLS1005/Muntjac/1","2014 07 20 16 57 42.JPG","bulong","bls1005","muntjac",1,"2014-07-20"
50,"bulong/BLS1005/Muntjac/1","2014 08 03 21 05 42.jpg","bulong","bls1005","muntjac",1,"2014-08-03"
51,"bulong/BLS1005/Muntjac/1","2014 08 18 09 50 14.jpg","bulong","bls1005","muntjac",1,"2014-08-18"
52,"bulong/BLS1005/weasel/1","2014 05 13 12 43 14.JPG","bulong","bls1005","weasel",1,"2014-05-13"
53,"bulong/BLS1005/wildboar/1","2014 04 26 04 08 26.JPG","bulong","bls1005","wildboar",1,"2014-04-26"
54,"bulong/BLS1005/wildboar/1","2014 04 29 01 53 05.JPG","bulong","bls1005","wildboar",1,"2014-04-29"
55,"bulong/BLS1005/wildboar/1","2014 05 13 22 05 06.JPG","bulong","bls1005","wildboar",1,"2014-05-13"
56,"bulong/BLS1005/wildboar/2","2014 05 15 04 10 59.JPG","bulong","bls1005","wildboar",2,"2014-05-15"
57,"bulong/BLS1005/wildboar/1","2014 06 18 01 33 00.JPG","bulong","bls1005","wildboar",1,"2014-06-18"
59,"bulong/BLS2001/Blackbear/1","2014 06 15 20 31 53.JPG","bulong","bls2001","blackbear",1,"2014-06-15"
60,"bulong/BLS2001/Commonpalmcivet/1","2014 06 07 04 36 27.JPG","bulong","bls2001","commonpalmcivet",1,"2014-06-07"
61,"bulong/BLS2001/Commonpalmcivet/1","2014 08 09 20 51 25.JPG","bulong","bls2001","commonpalmcivet",1,"2014-08-09"
79,"bulong/BLS2001/Muntjac/1","2014 07 13 06 22 05.JPG","bulong","bls2001","muntjac",1,"2014-07-13"
88,"bulong/BLS2001/Wildboar/1","2014 06 07 17 56 25.JPG","bulong","bls2001","wildboar",1,"2014-06-07"
90,"bulong/BLS2002/commonpalmcivet/1","2014 08 04 06 10 55.jpg","bulong","bls2002","commonpalmcivet",1,"2014-08-04"
91,"bulong/BLS2002/commonpalmcivet/1","2014 09 01 02 12 24.jpg","bulong","bls2002","commonpalmcivet",1,"2014-09-01"
92,"bulong/BLS2002/commonpalmcivet/1","2014 09 09 06 35 27.jpg","bulong","bls2002","commonpalmcivet",1,"2014-09-09"
119,"bulong/BLS2002/wildboar/1","2014 10 09 08 45 50.jpg","bulong","bls2002","wildboar",1,"2014-10-09"
129,"bulong/BLS2003/muntjac/1","2014 09 06 21 34 44.jpg","bulong","bls2003","muntjac",1,"2014-09-06"
130,"bulong/BLS2003/muntjac/1","2014 10 01 23 00 47.jpg","bulong","bls2003","muntjac",1,"2014-10-01"
131,"bulong/BLS2003/muntjac/1","2014 10 05 19 14 57.jpg","bulong","bls2003","muntjac",1,"2014-10-05"
132,"bulong/BLS2003/muntjac/1","2014 10 12 01 41 16.jpg","bulong","bls2003","muntjac",1,"2014-10-12"
133,"bulong/BLS2003/muntjac/1","2014 10 14 10 08 48.jpg","bulong","bls2003","muntjac",1,"2014-10-14"
134,"bulong/BLS2003/Sambar/1","2014 05 11 06 19 47.JPG","bulong","bls2003","sambar",1,"2014-05-11"
135,"bulong/BLS2003/Sambar/1","2014 06 11 04 45 31.JPG","bulong","bls2003","sambar",1,"2014-06-11"
