station,mean studyday,total camhours for the rep,species,rep
hm01,3,109.5,NULL,1
hm01,3,109.5,NULL,1
hm01,3,109.5,NULL,1
hm01,3,109.5,NULL,1
hm01,3,109.5,NULL,1
hm01,3,109.5,PTMA,1
hm01,8,120,NULL,2
hm01,8,120,NULL,2
hm01,8,120,NULL,2
hm01,8,120,NULL,2
hm01,8,120,NULL,2
hm01,13,120,CLLE,3
hm01,13,120,NULL,3
hm01,13,120,NULL,3
hm01,13,120,NULL,3
hm01,13,120,NULL,3
hm01,13,120,NULL,3
hm01,13,120,PTMA,3
hm01,18,120,BEPI,4
hm01,18,120,MACI,4
hm01,18,120,NULL,4
hm01,18,120,NULL,4
hm01,18,120,NULL,4
hm01,18,120,NULL,4
hm01,18,120,NULL,4
hm01,18,120,PTMA,4
hm01,23,120,NULL,5
hm01,23,120,NULL,5
hm01,23,120,NULL,5
hm01,23,120,NULL,5
hm01,23,120,NULL,5
hm01,23,120,PTMA,5
hm01,28,120,COPO,6
hm01,28,120,COPO,6
hm01,28,120,NULL,6
hm01,28,120,NULL,6
hm01,28,120,NULL,6
hm01,28,120,NULL,6
hm01,28,120,NULL,6
hm01,33,120,MUNT,7
hm01,33,120,NULL,7
hm01,33,120,NULL,7
hm01,33,120,NULL,7
hm01,33,120,NULL,7
hm01,33,120,NULL,7
hm01,33,120,SAMB,7
hm01,38,120,COPO,8
hm01,38,120,NULL,8
hm01,38,120,NULL,8
hm01,38,120,NULL,8
hm01,38,120,NULL,8
hm01,38,120,NULL,8
hm01,38,120,SAMB,8
hm01,43,120,BEPI,9
hm01,43,120,NULL,9
hm01,43,120,NULL,9
hm01,43,120,NULL,9
hm01,43,120,NULL,9
hm01,43,120,NULL,9
hm01,43,120,PTMA,9
hm01,43,120,SAMB,9
hm01,48,120,CLLE,10
hm01,48,120,NULL,10
hm01,48,120,NULL,10
hm01,48,120,NULL,10
hm01,48,120,NULL,10
hm01,48,120,NULL,10
hm01,48,120,PTMA,10
hm01,48,120,SAMB,10
hm01,48,120,SUBE,10
hm01,53,120,BEPI,11
hm01,53,120,NULL,11
hm01,53,120,NULL,11
hm01,53,120,NULL,11
hm01,53,120,NULL,11
hm01,53,120,NULL,11
hm01,58,120,NULL,12
hm01,58,120,NULL,12
hm01,58,120,NULL,12
hm01,58,120,NULL,12
hm01,58,120,NULL,12
hm01,58,120,PTMA,12
hm01,63,120,NULL,13
hm01,63,120,NULL,13
hm01,63,120,NULL,13
hm01,63,120,NULL,13
hm01,63,120,NULL,13
hm01,68,120,NULL,14
hm01,68,120,NULL,14
hm01,68,120,NULL,14
hm01,68,120,NULL,14
hm01,68,120,NULL,14
hm01,68,120,PTMA,14
hm01,73,120,BEPI,15
hm01,73,120,MUNT,15
hm01,73,120,NULL,15
hm01,73,120,NULL,15
hm01,73,120,NULL,15
hm01,73,120,NULL,15
hm01,73,120,NULL,15
hm01,73,120,SAMB,15
hm01,78,120,NULL,16
hm01,78,120,NULL,16
hm01,78,120,NULL,16
hm01,78,120,NULL,16
hm01,78,120,NULL,16
hm01,78,120,SAMB,16
hm01,83,120,NULL,17
