photo_path,photo_file,site,camera,species,n,datetime
NBH2001401_04/NBH1001/Guar/1,2014 02 18 19 14 32.JPG,nbh2001401_04,nbh1001,gaur,1,2014-02-18 19:14
NBH2001401_04/NBH1001/Guar/1,2014 03 24 14 10 02.JPG,nbh2001401_04,nbh1001,gaur,1,2014-03-24 14:10
NBH2001401_04/NBH1001/Guar/1,2014 04 05 01 58 30.JPG,nbh2001401_04,nbh1001,gaur,1,2014-04-05 1:58
NBH2001401_04/NBH1001/Human/1,2014 01 05 12 51 44.JPG,nbh2001401_04,nbh1001,human,1,2014-01-05 12:51
NBH2001401_04/NBH1001/Human/1,2014 04 09 11 47 34.JPG,nbh2001401_04,nbh1001,human,1,2014-04-09 11:47
NBH2001401_04/NBH1001/Sambar/1,2014 01 07 19 12 32.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-07 19:12
NBH2001401_04/NBH1001/Sambar/1,2014 01 12 19 45 00.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-12 19:45
NBH2001401_04/NBH1001/Sambar/1,2014 01 14 13 13 16.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-14 13:13
NBH2001401_04/NBH1001/Sambar/1,2014 01 15 16 43 12.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-15 16:43
NBH2001401_04/NBH1001/Sambar/1,2014 01 20 09 54 04.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-20 9:54
NBH2001401_04/NBH1001/Sambar/1,2014 01 21 08 02 32.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-21 8:02
NBH2001401_04/NBH1001/Sambar/1,2014 01 22 03 24 24.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-22 3:24
NBH2001401_04/NBH1001/Sambar/2,2014 01 24 11 23 58.JPG,nbh2001401_04,nbh1001,sambar,2,2014-01-24 11:23
NBH2001401_04/NBH1001/Sambar/1,2014 01 28 03 46 04.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-28 3:46
NBH2001401_04/NBH1001/Sambar/1,2014 01 29 10 36 00.JPG,nbh2001401_04,nbh1001,sambar,1,2014-01-29 10:36
NBH2001401_04/NBH1001/Sambar/1,2014 02 03 08 37 48.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-03 8:37
NBH2001401_04/NBH1001/Sambar/1,2014 02 03 21 07 08.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-03 21:07
NBH2001401_04/NBH1001/Sambar/1,2014 02 04 10 28 44.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-04 10:28
NBH2001401_04/NBH1001/Sambar/2,2014 02 05 20 07 16.JPG,nbh2001401_04,nbh1001,sambar,2,2014-02-05 20:07
NBH2001401_04/NBH1001/Sambar/1,2014 02 15 03 57 40.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-15 3:57
NBH2001401_04/NBH1001/Sambar/1,2014 02 17 21 37 08.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-17 21:37
NBH2001401_04/NBH1001/Sambar/1,2014 02 28 19 02 22.JPG,nbh2001401_04,nbh1001,sambar,1,2014-02-28 19:02
NBH2001401_04/NBH1001/Sambar/2,2014 03 01 08 25 52.JPG,nbh2001401_04,nbh1001,sambar,2,2014-03-01 8:25
NBH2001401_04/NBH1001/Sambar/1,2014 03 07 21 22 36.JPG,nbh2001401_04,nbh1001,sambar,1,2014-03-07 21:22
NBH2001401_04/NBH1001/Wildboar/1,2014 01 11 14 31 56.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-11 14:31
NBH2001401_04/NBH1001/Wildboar/1,2014 01 17 19 38 30.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-17 19:38
NBH2001401_04/NBH1001/Wildboar/1,2014 01 19 18 32 42.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-19 18:32
NBH2001401_04/NBH1001/Wildboar/1,2014 01 19 19 49 16.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-19 19:49
NBH2001401_04/NBH1001/Wildboar/1,2014 01 20 11 08 34.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-20 11:08
NBH2001401_04/NBH1001/Wildboar/1,2014 01 21 15 13 08.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-21 15:13
NBH2001401_04/NBH1001/Wildboar/1,2014 01 23 12 49 04.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-01-23 12:49
NBH2001401_04/NBH1001/Wildboar/1,2014 02 01 00 11 48.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-02-01 0:11
NBH2001401_04/NBH1001/Wildboar/1,2014 02 03 14 08 58.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-02-03 14:08
NBH2001401_04/NBH1001/Wildboar/1,2014 02 13 19 11 18.JPG,nbh2001401_04,nbh1001,wildboar,1,2014-02-13 19:11
