"Station","Species","Count"
"ml1001","muntjac",3
"ml1003","muntjac",5
"ml1005","muntjac",1
"ml1006","muntjac",0
"ml1007","muntjac",4
"ml1008","muntjac",9
"ml1009","muntjac",22
"ml1011","muntjac",21
"ml1012","muntjac",27
"ml1013","muntjac",1
"ml1014","muntjac",6
"ml1015","muntjac",3
"ml1016","muntjac",1
"ml1017","muntjac",3
"ml1018","muntjac",10
"ml1019","muntjac",6
"ml1020","muntjac",3
"ml1021","muntjac",0
"ml1022","muntjac",1
"ml1023","muntjac",1
"ml1024","muntjac",0
"ml1025","muntjac",1
"ml1026","muntjac",0
"ml1027","muntjac",1
"ml1028","muntjac",1
"ml2001","muntjac",9
"ml2002","muntjac",1
"ml2003","muntjac",3
"ml2004","muntjac",8
"ml2005","muntjac",1
"ml2006","muntjac",1
"ml2007","muntjac",0
"ml3001","muntjac",5
"ml3003","muntjac",7
"ml3004","muntjac",23
"ml3006","muntjac",7
"mg1001","muntjac",0
"mg1002","muntjac",0
"mg1003","muntjac",0
"mg1004","muntjac",0
"mg1005","muntjac",0
"mg1006","muntjac",0
"mg2001","muntjac",0
"mg2002","muntjac",0
"mg2003","muntjac",0
"mg2004","muntjac",0
"mg2005","muntjac",0
"mg2006","muntjac",0
"mg2007","muntjac",0
"lsl1001","muntjac",0
"lsl1004","muntjac",0
"lsl1005","muntjac",0
"lsl1006","muntjac",0
"lsl2001","muntjac",0
"lsl2002","muntjac",0
"lsl2003","muntjac",0
"lsl2004","muntjac",0
"lsl2005","muntjac",0
"lsl2006","muntjac",0
"bls1001","muntjac",0
"bls1002","muntjac",5
"bls1003","muntjac",0
"bls1004","muntjac",3
"bls1005","muntjac",3
"bls2001","muntjac",1
"bls2002","muntjac",0
"bls2003","muntjac",5
"bls2004","muntjac",1
"bls2005","muntjac",14
"bls2006","muntjac",7
"bls2008","muntjac",0
"bls3001","muntjac",3
"bls3004","muntjac",0
"bls3005","muntjac",0
"bls3006","muntjac",0
"bls3007","muntjac",0
"bls3008","muntjac",0
"bls3009","muntjac",0
"bls3010","muntjac",0
"bls6001","muntjac",4
"bls6002","muntjac",0
"bls6004","muntjac",0
"bls7001","muntjac",5
"bls7003","muntjac",5
"ms4001","muntjac",0
"ms4002","muntjac",3
"ms4003","muntjac",2
"ms4004","muntjac",0
"ms4005","muntjac",0
"ms4006","muntjac",9
"ms5001","muntjac",1
"ms5002","muntjac",7
"ms5004","muntjac",3
"nbh1001","muntjac",0
"nbh1004","muntjac",2
"nbh1005","muntjac",0
"nbh1007","muntjac",1
"nbh1009","muntjac",7
"nbh1012","muntjac",5
"nbh1013","muntjac",0
"nbh2004","muntjac",4
"nbh2007","muntjac",8
"nbh2008","muntjac",51
"nbh2010","muntjac",7
"nbh3005","muntjac",12
"nbh4001","muntjac",4
"nbh4002","muntjac",0
