"","x"
"1",-0.656357497285682
"2",-0.751380887542093
"3",-0.775730411626844
"4",-0.779892724006052
"5",-0.798638607770728
"6",-0.805499112320021
"7",-0.816027176359305
"8",-0.821993093427912
"9",-0.826124667514741
"10",-0.805899342970352
"11",-0.785602746051573
"12",-0.773343011534667
"13",-0.753492924106674
"14",-0.764169318733318
"15",-0.771506562285018
"16",-0.772369982285321
"17",-0.760771673938517
"18",-0.746903084958872
"19",-0.755180539537333
"20",-0.769837498261461
"21",-0.767203643708629
"22",-0.75276266726259
"23",-0.736737910722848
"24",-0.696172366299519
"25",-0.638292512336759
"26",-0.797901321420166
"27",-0.769824470889912
"28",-0.751252235912099
"29",-0.692307795436272
"30",-0.665015021445304
"31",-0.724083347510285
"32",-0.762565518700579
"33",-0.828002692675017
"34",-0.824770443370186
"35",-0.815727518239797
"36",-0.796293380990387
"37",-0.178643774470342
"38",-0.158252783273976
"39",-0.0967603097782817
"40",-0.0664523409023507
"41",-0.00237412978176657
"42",-0.0238014865993113
"43",0.256488128708619
"44",0.202612620844643
"45",0.0907780825277543
"46",0.0672360504924848
"47",0.104389990412653
"48",0.0991557586338051
"49",0.0713868169524429
"50",2.74317250523892
"51",2.46178851601467
"52",2.45554846533778
"53",2.57688566168907
"54",2.43131275798562
"55",2.31935582489085
"56",2.21928752288499
"57",2.26230822676093
"58",2.61714499877612
"59",2.90151426801771
"60",-0.574294564921865
"61",-0.522451580954374
"62",-0.502325279987888
"63",-0.509130668664394
"64",-0.502588699715267
"65",-0.451592955559141
"66",-0.459324369116381
"67",-0.532175069385154
"68",-0.48715927422752
"69",-0.488192729453788
"70",-0.616822982952783
"71",-0.783765261267844
"72",-0.648826565544715
"73",-0.602992615475562
"74",-0.581201456561078
"75",-0.559630896635925
"76",-0.529608620704835
"77",-0.49264369147072
"78",-0.436993372777703
"79",-0.420649569786462
"80",-0.798788916084897
"81",-0.792307550353588
"82",-0.713802340633528
"83",-0.953176875656913
"84",-0.987950203976892
"85",-0.272035981720887
"86",-0.274565198549003
"87",-0.274565198549003
"88",-0.282609516829381
"89",-0.282609516829381
"90",-0.276283243425639
"91",-0.358920542639116
"92",-0.433005354872287
"93",-0.484198744990337
"94",0.964576748199172
"95",0.932316169371555
"96",0.928766033383579
"97",0.893766027539742
"98",0.947428052056626
"99",0.895833302412814
"100",0.910458346594461
"101",1.11664219134731
"102",1.16493541600514
"103",1.19294068771646
"104",1.19320147947484
"105",1.23370897038176
"106",0.529847075842343
"107",0.684070281967114
"108",0.754439797028178
"109",0.924414404122245
"110",1.04553640517816
"111",1.21195379493067
"112",0.65658474433834
"113",0.550397613661913
"114",0.678335166586126
"115",0.632589040209488
