"","Var1","Freq"
"1","bat",0
"2","bird",0
"3","blackbear",12
"4","brushtailedporcupine",5
"5","cattle",6
"6","chineseferretbadger",35
"7","commongreenmagpie",0
"8","commonmacaque",29
"9","commonpalmcivet",50
"10","crabeatingmongoose",22
"11","dhole",1
"12","dog",9
"13","goral",15
"14","greateryellownape",0
"15","greenmagpie",0
"16","guar",23
"17","hogbadger",6
"18","human",0
"19","human2",91
"20","hunter",9
"21","junglefowl",0
"22","leopardcat",17
"23","maskedpalmcivet",42
"24","muntjac",434
"25","pigtailedmacaque",25
"26","porcupine",14
"27","rat",0
"28","sambar",141
"29","serow",5
"30","silverpheasant",0
"31","smallindiancivet",1
"32","spotedlinsang",1
"33","squirrel",0
"34","treeshrew",0
"35","unknown",0
"36","watermonitor",3
"37","weasel",5
"38","wildboar",321
"39","yellowthroatedmarten",9
