,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
8,m008~commonpalmcivet~ele.s + dis + reach + punish,~camhours + cam_angle ~ ele.s + dis + reach + punish,-0.501246284,0.29164022,0.865134886,0.345678377,-5.534272032,2.003316952,,,,,6.647742746,4.086840532,-9.10135595,3.849808581,-1.125579045,1.378014861,53.20371595,12592.58223,-5.722781988,540.6861641,0,13448552298,280.2089293,8,115,576.4178585,0,0.440518033, ,0.440518033
9,m009~commonpalmcivet~ele.s + dis + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + pop3000.s + reach + punish,-0.565741656,0.295442448,0.805927972,0.350028287,-5.427067821,1.843785306,,,-0.305985439,0.436225694,5.560835794,4.154510615,-8.744683255,3.559618288,-1.134848592,1.465272369,56.55579354,14818.65723,-5.87085012,636.2660407,0,20345545638,279.9514456,9,115,577.9028911,1.485032593,0.20964908, ,0.650167112
7,m007~commonpalmcivet~ele.s + dis + PAsize + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + reach + punish,-0.55969902,0.292898207,0.807984758,0.351384984,-4.730306144,2.175770586,0.249368367,0.361240301,,,5.242809374,4.335438339,-7.347032068,4.376424512,-1.142442235,1.436574578,3.887289806,37.36113234,-3.601558552,2.192301126,0,145309.8047,279.9617642,9,115,577.9235285,1.505669957,0.207496901, ,0.857664013
10,m010~commonpalmcivet~ele.s + dis + PAsize + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s + reach + punish,-0.564120992,0.297207941,0.805936975,0.351527459,-5.259052347,6.037223972,0.05385964,1.936131433,-0.242461139,2.32836414,5.443745883,5.539731188,-8.405594858,12.13827262,-1.138036895,1.449462315,4.977555447,56.85608922,-3.652624309,2.871158275,0,366583.9197,279.9533325,10,115,579.906665,3.488806466,0.076980192, ,0.934644205
5,m005~commonpalmcivet~ele.s + dis + PAsize ,~camhours + cam_angle ~ ele.s + dis + PAsize,-0.5508254,0.268508254,0.787327972,0.294134393,-1.59029208,0.389453758,1.015476142,0.288754419,,,,,,,-0.61970861,1.345453842,5.602628083,77.07269817,-4.206598101,3.616501808,0,599456.5902,283.4923491,7,115,580.9846982,4.566839706,0.044904209, ,0.979548414
6,m006~commonpalmcivet~ele.s + dis + PAsize + pop3000.s,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s,-0.583187923,0.279581685,0.86036338,0.35300139,-1.541982364,0.398463585,1.113909774,0.388181291,0.254814873,0.646137901,,,,,-0.525618546,1.201589717,3.275114968,29.38253985,-4.205680819,1.808007277,0,95152.98057,283.4189086,8,115,582.8378172,6.419958681,0.017778183, ,0.997326597
2,m002~commonpalmcivet~ele.s,~camhours + cam_angle ~ ele.s,,,0.726989797,0.257212912,-1.450079087,0.296987267,,,,,,,,,-1.059057389,0.914926734,4.276739114,42.85469861,-3.537970098,2.055414139,0,131520.1011,289.0071987,5,115,588.0143974,11.59653886,0.001336003, ,0.9986626
4,m004~commonpalmcivet~ele.s + dis + pop3000.s,~camhours + cam_angle ~ ele.s + dis + pop3000.s,0.008312043,0.203010348,0.482907864,0.295476022,-1.636106553,0.372131976,,,-0.813768092,0.557809451,,,,,-1.141325997,0.882416817,56.29235635,11384.29144,-5.729843468,488.807273,0,10616646540,287.5891622,7,115,589.1783243,12.76046577,0.000746558, ,0.999409158
3,m003~commonpalmcivet~ele.s + dis,~camhours + cam_angle ~ ele.s + dis,0.094012635,0.203322535,0.682789015,0.275979751,-1.436794582,0.306160191,,,,,,,,,-0.956321966,1.260370499,4.017690494,38.2852494,-3.639298575,2.090649079,0,113092.3057,288.8990326,6,115,589.7980653,13.38020674,0.000547632, ,0.99995679
1,m001~commonpalmcivet~~,~1 ~ 1,,,,,-1.161662656,0.252980599,,,,,,,,,,,,,-4.396618012,0.208229557,0,3.470120882,295.4385662,2,115,594.8771323,18.45927382,4.32E-05, ,1
