,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
7,m007~maskedpalmcivet~ele.s + dis + PAsize + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + reach + punish,0.696817324,0.414993817,0.031614308,0.273823515,-0.329170458,0.440851396,-0.777750967,0.462080345,,,0.212439872,1.324321017,0.547447118,0.257494812,10.15547684,49.1608691,8.11481112,106.9760134,-15.92679489,49.37661479,0,1109736.887,245.842709,9,115,509.6854179,0,0.360033455,NA,0.360033455
8,m008~maskedpalmcivet~ele.s + dis + reach + punish,~camhours + cam_angle ~ ele.s + dis + reach + punish,0.129748267,0.23561649,0.170711655,0.265193485,-0.336193334,0.399765625,,,,,-0.617142708,1.403408419,0.776703768,0.246442038,10.15485327,49.62525875,3.97310154,38.18745639,-15.64887387,49.65390121,0,450897.8084,247.4498176,8,115,510.8996353,1.214217375,0.19619092,NA,0.556224375
9,m009~maskedpalmcivet~ele.s + dis + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + pop3000.s + reach + punish,0.243265488,0.256551589,0.326980564,0.293266098,-0.298336083,0.422789832,,,0.6221517,0.434284349,0.792992084,1.822231777,0.417566694,0.343180539,9.861199975,43.11919982,4.564135247,42.5886801,-15.44740162,43.16015826,0,374697.8661,246.4851509,9,115,510.9703019,1.284883968,0.189379885,NA,0.74560426
10,m010~maskedpalmcivet~ele.s + dis + PAsize + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s + reach + punish,0.679542846,0.417330508,0.153907248,0.314439604,-0.300576019,0.452178191,-0.662053126,0.48645177,0.371467235,0.442669711,0.881066834,1.617089219,0.376469053,0.322601961,11.80376838,112.7846715,8.704004461,111.9452072,-17.63482363,112.8867565,0,2666509.764,245.4934998,10,115,510.9869995,1.301581618,0.187805368,NA,0.933409628
6,m006~maskedpalmcivet~ele.s + dis + PAsize + pop3000.s,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s,0.677506748,0.387273539,0.183339419,0.322303208,-0.443341357,0.374675813,-0.715745157,0.466849526,0.399675021,0.329020465,,,,,9.920017086,58.1593764,6.735763058,72.23105479,-15.4124004,58.24340848,0,585253.7912,249.438616,8,115,514.877232,5.191814115,0.026850647,NA,0.960260274
4,m004~maskedpalmcivet~ele.s + dis + pop3000.s,~camhours + cam_angle ~ ele.s + dis + pop3000.s,0.184660326,0.2133078,0.311948205,0.311780966,-0.430238828,0.349682661,,,0.651731694,0.298137294,,,,,7.411343293,16.74564966,2.640514047,17.76262299,-12.66091757,16.76573167,0,43478.81728,250.7164821,7,115,515.4329641,5.747546208,0.020336633,NA,0.980596907
2,m002~maskedpalmcivet~ele.s,~camhours + cam_angle ~ ele.s,,,-0.099517167,0.20778894,-0.567305268,0.308321855,,,,,,,,,8.218418764,25.67063836,2.863192782,23.25661573,-13.31188307,25.69106783,0,87612.07727,253.2978414,5,115,516.5956828,6.910264883,0.01137098,NA,0.991967888
3,m003~maskedpalmcivet~ele.s + dis,~camhours + cam_angle ~ ele.s + dis,0.115541198,0.2167806,-0.147295435,0.229227781,-0.545450526,0.313552514,,,,,,,,,9.926383034,59.61490316,5.627286117,66.60570794,-15.1541422,59.68394215,0,478434.1425,253.1544292,6,115,518.3088584,8.62344046,0.004828214,NA,0.996796102
1,m001~maskedpalmcivet~~,~1 ~ 1,,,,,-0.716453149,0.312764757,,,,,,,,,,,,,-4.995037655,0.311700573,0,7.48742456,257.8794377,2,115,519.7588754,10.07345748,0.002338403,NA,0.999134505
5,m005~maskedpalmcivet~ele.s + dis + PAsize ,~camhours + cam_angle ~ ele.s + dis + PAsize,0.684913941,0.354187328,-0.030870097,0.231039676,-0.666634495,0.360675,-0.891244715,0.405654175,,,,,,,-0.061931112,0.15102721,2.954383011,22.01555303,-5.178594858,1.027181874,0,46923.981,253.8733596,7,115,521.7467193,12.06130139,0.000865495,NA,1
