,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
7,m007~muntjac~ele.s + dis + PAsize + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + reach + punish,-0.02083375,0.142000039,0.274228341,0.156038672,-0.364822865,0.29565449,1.310906755,0.282374456,,,4.534309145,1.921912504,0.791708552,0.148146229,1.10013309,0.27442617,-0.034761051,0.055875121,-4.964055823,0.298139751,0,1874.526373,1425.025895,9,115,2868.05179,0,0.642,NA,0.642427245
10,m010~muntjac~ele.s + dis + PAsize + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s + reach + punish,-0.0017718,0.142869329,0.323907953,0.167407165,-0.23960415,0.283760799,1.36476106,0.277522363,0.540677319,0.560828416,4.838244156,1.807345466,0.487337555,0.344328094,1.090581332,0.274058743,-0.035015416,0.055857247,-4.967148082,0.298139934,0,1772.843451,1424.61181,10,115,2869.22362,1.17,0.358,NA,0.999999953
8,m008~muntjac~ele.s + dis + reach + punish,~camhours + cam_angle ~ ele.s + dis + reach + punish,0.575552544,0.110858171,0.026279069,0.144653006,0.11755447,0.151160721,,,,,1.915373358,0.831395843,0.387076728,0.117446417,0.985805335,0.291601698,-0.036695101,0.056153522,-4.707136571,0.308039233,0,303.7819963,1443.009528,8,115,2902.019055,33.97,0,NA,0.99999998
9,m009~muntjac~ele.s + dis + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + pop3000.s + reach + punish,0.515905589,0.121730811,-0.008500787,0.146618709,0.056732704,0.172222184,,,-0.413865114,0.391118305,1.327209984,0.984169561,0.644740064,0.271307376,0.999173934,0.292376991,-0.03648912,0.056153335,-4.717592069,0.308850046,0,451.5939531,1442.334866,9,115,2902.669731,34.62,0,NA,1
6,m006~muntjac~ele.s + dis + PAsize + pop3000.s,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s,0.027851741,0.140086651,0.351977906,0.178076304,0.13442668,0.135441248,0.690609887,0.178749976,0.650303359,0.20349579,,,,,0.462212297,0.295572028,-0.037358997,0.056121645,-4.118903861,0.300239868,0,89.11292077,1454.689599,8,115,2925.379198,57.33,0,NA,1
5,m005~muntjac~ele.s + dis + PAsize ,~camhours + cam_angle ~ ele.s + dis + PAsize,0.190252693,0.133147265,-0.013917853,0.133431044,0.114154686,0.132182365,0.334205611,0.135589624,,,,,,,0.391118933,0.291589841,-0.038622644,0.05618371,-3.99243173,0.291287208,0,75.92105917,1459.927705,7,115,2933.85541,65.8,0,NA,1
3,m003~muntjac~ele.s + dis,~camhours + cam_angle ~ ele.s + dis,0.414514267,0.098552768,-0.001150843,0.130501884,0.147656285,0.128922846,,,,,,,,,0.425776678,0.288354471,-0.03832386,0.0562535,-4.020257145,0.288115268,0,65.70778179,1462.753282,6,115,2937.506563,69.45,0,NA,1
4,m004~muntjac~ele.s + dis + pop3000.s,~camhours + cam_angle ~ ele.s + dis + pop3000.s,0.433660663,0.099611756,0.112507112,0.160942217,0.165092232,0.129712022,,,0.188973341,0.155804219,,,,,0.460240668,0.290040779,-0.037718005,0.056251991,-4.06954954,0.292252437,0,69.40306878,1462.024816,7,115,2938.049632,70,0,NA,1
2,m002~muntjac~ele.s,~camhours + cam_angle ~ ele.s,,,0.235400244,0.11512606,0.119553625,0.12446808,,,,,,,,,0.402984579,0.27874038,-0.039764629,0.056215069,-3.92012137,0.274402856,0,55.47727328,1471.340021,5,115,2952.680041,84.63,0,NA,1
1,m001~muntjac~~,~1 ~ 1,,,,,0.151676508,0.119737988,,,,,,,,,,,,,-3.552957095,0.090395553,0,3.889774996,1475.238654,2,115,2954.477308,86.43,0,NA,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),,,,,,,,,,,,
,,,-0.013375268,0.091164025,0.176054595,0.100176827,-0.234216279,0.189810183,0.841602137,0.181284401,0,0,2.911026471,1.233867828,0.50827689,0.095109879,0.706285444,0.176181601,-0.022316595,0.035871828,,,,,,,,,,,,
,,,-0.000634304,0.05114722,0.115959047,0.059931765,-0.085778286,0.101586366,0.488584459,0.099353006,0.19356248,0.200776573,1.732091408,0.647029677,0.174466845,0.123269458,0.390428117,0.09811303,-0.012535519,0.019996894,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sum,-0.014009572,0.142311245,0.292013642,0.160108592,-0.319994565,0.291396549,1.330186596,0.280637407,0.19356248,0.200776573,4.643117879,1.880897504,0.682743735,0.218379337,1.096713561,0.274294631,-0.034852114,0.055868722,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,SE,0.95CI,low,up,,,,,,,,,,,,,,,,,,,,,,,,,
,,Distance,-0.014,0.142,0.278,-0.292,0.263,,,,,,,,,,,,,,,,,,,,,,,,,
,,Elevation,0.292,0.160,0.312,-0.020,0.604,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pasize,1.330,0.281,0.547,0.783,1.877,,,,,,,,,,,,,,,,,,,,,,,,,
,,Human density,0.194,0.201,0.392,-0.198,0.585,,,,,,,,,,,,,,,,,,,,,,,,,
,,Punishment,4.643,1.881,3.668,0.975,8.311,,,,,,,,,,,,,,,,,,,,,,,,,
,,Outreach,0.683,0.218,0.426,0.257,1.109,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam_angle,1.097,0.274,0.535,0.562,1.632,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cam hours,-0.035,0.056,0.109,-0.144,0.074,,,,,,,,,,,,,,,,,,,,,,,,,
