,model,formula,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),p(Int),SEp(Int),Converge,CondNum,negLogLike,nPars,n,AIC,delta,AICwt,Rsq,cumltvWt
7,m007~wildboar~ele.s + dis + PAsize + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + reach + punish,0.391279811,0.139655907,-0.089089004,0.147216328,0.177368061,0.226754858,0.766604209,0.200217526,,,3.019914066,1.293801056,0.399232836,0.14146338,0.313825291,0.258791672,0.066478852,0.079048368,-4.65304639,0.295400423,0,997.6465659,1237.979946,9,115,2493.959892,0,0.709878397,NA,0.709878397
10,m010~wildboar~ele.s + dis + PAsize + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s + reach + punish,0.383732365,0.14077034,-0.105751571,0.1510774,0.142986657,0.249833859,0.735007239,0.212669531,-0.213231276,0.488370345,2.770168912,1.429155196,0.524913838,0.322313241,0.325554989,0.259826815,0.066630448,0.079035905,-4.663707634,0.296128698,0,1317.660855,1237.879146,10,115,2495.758292,1.79839973,0.288846042,NA,0.998724438
9,m009~wildboar~ele.s + dis + pop3000.s + reach + punish,~camhours + cam_angle ~ ele.s + dis + pop3000.s + reach + punish,0.702730215,0.118891365,-0.269929872,0.143236517,0.235188736,0.198858959,,,-0.633379192,0.397615259,1.211003356,1.029214007,0.54867096,0.282303553,0.292811483,0.269815559,0.067897878,0.078854426,-4.532706841,0.296850739,0,538.0933031,1244.710428,9,115,2507.420856,13.46096438,0.000847564,NA,0.999572002
8,m008~wildboar~ele.s + dis + reach + punish,~camhours + cam_angle ~ ele.s + dis + reach + punish,0.793033003,0.110121012,-0.227017157,0.143464737,0.312858693,0.174355175,,,,,2.210359323,0.855089254,0.137518366,0.118254724,0.24103838,0.270171251,0.06766633,0.078909949,-4.468237304,0.294752216,0,339.7108424,1246.395116,8,115,2508.790232,14.83033953,0.000427382,NA,0.999999385
5,m005~wildboar~ele.s + dis + PAsize ,~camhours + cam_angle ~ ele.s + dis + PAsize,0.475633543,0.128058188,-0.149686347,0.128439485,0.414504703,0.156947235,0.242695808,0.13111405,,,,,,,-0.161494951,0.146924661,0.06817728,0.078967682,-4.080060338,0.194142206,0,33.17417429,1254.817398,7,115,2523.634796,29.67490356,2.55E-07,NA,0.99999964
6,m006~wildboar~ele.s + dis + PAsize + pop3000.s,~camhours + cam_angle ~ ele.s + dis + PAsize + pop3000.s,0.422449024,0.135699355,-0.049364679,0.157897091,0.43674923,0.159291844,0.360408192,0.169814894,0.204839897,0.18631635,,,,,-0.156615416,0.147450203,0.068177724,0.079059069,-4.106577792,0.197912424,0,44.8885248,1254.213833,8,115,2524.427666,30.46777362,1.72E-07,NA,0.999999812
3,m003~wildboar~ele.s + dis,~camhours + cam_angle ~ ele.s + dis,0.635250456,0.096510414,-0.144244799,0.127477117,0.424182224,0.15409158,,,,,,,,,-0.161734702,0.14414616,0.068787462,0.079009369,-4.06484505,0.190529483,0,26.17838077,1256.446397,6,115,2524.892795,30.93290256,1.36E-07,NA,0.999999948
4,m004~wildboar~ele.s + dis + pop3000.s,~camhours + cam_angle ~ ele.s + dis + pop3000.s,0.631563023,0.097643191,-0.162019518,0.147450831,0.419504974,0.155452518,,,-0.034639946,0.144943163,,,,,-0.162582355,0.14441237,0.068767684,0.078999173,-4.061649666,0.190972639,0,27.88973549,1256.417746,7,115,2526.835492,32.87560018,5.16E-08,NA,1
2,m002~wildboar~ele.s,~camhours + cam_angle ~ ele.s,,,0.244390867,0.110826029,0.312244831,0.134133952,,,,,,,,,-0.158464037,0.112876158,0.068307709,0.07815386,-3.83011123,0.148977689,0,11.94583128,1277.343353,5,115,2564.686705,70.7268134,3.11E-16,NA,1
1,m001~wildboar~~,~1 ~ 1,,,,,0.319529039,0.131187112,,,,,,,,,,,,,-3.954929569,0.111382206,0,5.060035785,1281.059763,2,115,2566.119526,72.15963392,1.52E-16,NA,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,lam(dis),SElam(dis),lam(ele.s),SElam(ele.s),lam(Int),SElam(Int),lam(PAsize),SElam(PAsize),lam(pop3000.s),SElam(pop3000.s),lam(punish),SElam(punish),lam(reach),SElam(reach),p(cam_angle),SEp(cam_angle),p(camhours),SEp(camhours),,,,,,,,,,,,
,,,0.277761085,0.099138712,-0.06324236,0.104505691,0.125909755,0.160968375,0.544195767,0.142130096,0,0,2.143771755,0.918441419,0.283406766,0.100421797,0.222777794,0.183710617,0.047191901,0.056114729,,,,,,,,,,,,
,,,0.110839575,0.040660956,-0.030545923,0.043638109,0.04130113,0.072163521,0.212303931,0.061428752,-0.06159101,0.141063841,0.800152325,0.412805821,0.151619284,0.093098904,0.09403527,0.075049947,0.019245941,0.022829208,,,,,,,,,,,,
,,,0.000595609,0.000100768,-0.000228783,0.000121402,0.000199338,0.000168546,0,0,-0.00053683,0.000337005,0.001026403,0.000872325,0.000465034,0.00023927,0.000248177,0.000228686,5.75478E-05,6.68342E-05,,,,,,,,,,,,
